striker,total_matches,total_runs_x,balls_faced,not_outs_as_striker,not_outs_as_non_striker,total_not_outs,total_runs_y,dismissed,average,strike_rate,centuries,half_centuries,thirties,0s,1s,2s,3s,4s,6s
Abdullah Shahid,2.0,11.0,17.0,0.0,0.0,0.0,11.0,2.0,5.5,64.71,0.0,0.0,0.0,9.0,7.0,0.0,0.0,1.0,0.0
Abdullah Sheikh,4.0,16.0,26.0,0.0,1.0,1.0,16.0,3.0,5.33,61.54,0.0,0.0,0.0,15.0,8.0,2.0,0.0,1.0,0.0
Abdur Razzak,29.0,102.0,163.0,4.0,7.0,11.0,102.0,18.0,5.67,62.58,0.0,0.0,0.0,96.0,48.0,12.0,0.0,6.0,1.0
Abdur Rehman,6.0,51.0,43.0,1.0,2.0,3.0,51.0,3.0,17.0,118.6,0.0,0.0,1.0,15.0,21.0,2.0,0.0,2.0,3.0
Abhijeet Ahuja,16.0,313.0,355.0,0.0,1.0,1.0,313.0,15.0,20.87,88.17,0.0,2.0,1.0,178.0,120.0,24.0,1.0,25.0,7.0
Abhishek Ahuja,9.0,214.0,195.0,0.0,1.0,1.0,214.0,8.0,26.75,109.74,0.0,1.0,3.0,91.0,64.0,15.0,0.0,15.0,10.0
Abhishek Sharma,45.0,893.0,677.0,2.0,4.0,6.0,893.0,39.0,22.9,131.91,0.0,4.0,11.0,265.0,240.0,48.0,1.0,92.0,31.0
Abishek Porel,4.0,33.0,31.0,0.0,0.0,0.0,33.0,4.0,8.25,106.45,0.0,0.0,0.0,12.0,15.0,1.0,0.0,1.0,2.0
Abraash Khan,4.0,66.0,60.0,0.0,0.0,0.0,66.0,4.0,16.5,110.0,0.0,0.0,0.0,28.0,17.0,6.0,1.0,7.0,1.0
Abrar Ahmed,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Abrar Bilal,3.0,36.0,40.0,0.0,0.0,0.0,36.0,3.0,12.0,90.0,0.0,0.0,0.0,18.0,12.0,9.0,0.0,0.0,1.0
Absar Khan,2.0,6.0,9.0,0.0,1.0,1.0,6.0,1.0,6.0,66.67,0.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0
Abu Hider,30.0,232.0,201.0,6.0,12.0,18.0,232.0,12.0,19.33,115.42,0.0,0.0,0.0,98.0,60.0,13.0,0.0,17.0,13.0
Abu Jayed,13.0,37.0,37.0,3.0,6.0,9.0,37.0,4.0,9.25,100.0,0.0,0.0,0.0,19.0,11.0,2.0,0.0,4.0,1.0
Abu Zar,1.0,2.0,4.0,0.0,0.0,0.0,2.0,1.0,2.0,50.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0
Abubacarr Kuyateh,5.0,16.0,31.0,0.0,0.0,0.0,16.0,5.0,3.2,51.61,0.0,0.0,0.0,24.0,4.0,0.0,0.0,3.0,0.0
