bowler,matches,balls,runs_conceded,wickets,economy,average,strike_rate
Z Evans,10,171,285,13,10.0,21.923076923076923,13.153846153846153
Z Groenewald,10,173,167,8,5.79,20.875,21.625
Z Hoque,7,126,127,4,6.05,31.75,31.5
Z Khan,116,2647,3317,137,7.52,24.21167883211679,19.32116788321168
Z McLaughlin,3,43,55,2,7.67,27.5,21.5
Z Pongolo,23,304,430,17,8.49,25.294117647058822,17.88235294117647
Z Simpson,1,22,32,2,8.73,16.0,11.0
ZC Qwabe,3,52,86,1,9.92,86.0,52.0
ZE Matsinhe,5,75,91,1,7.28,91.0,75.0
ZGF Foulkes,7,155,186,12,7.2,15.5,12.916666666666666
ZJ Chappell,37,742,1120,55,9.06,20.363636363636363,13.49090909090909
ZK Shem,2,35,61,1,10.46,61.0,35.0
ZN Gibson,10,191,256,8,8.04,32.0,23.875
ZR Jaboneke,1,6,9,0,9.0,,
ZS Ansari,29,476,623,25,7.85,24.92,19.04
Zafar Gohar,25,477,626,25,7.87,25.04,19.08
Zafer Durmaz,1,15,10,0,4.0,,
Zaheer Ibrahim,1,6,3,0,3.0,,
Zaheer Maqsood,3,54,80,1,8.89,80.0,54.0
Zahid Abbas,2,30,32,2,6.4,16.0,15.0
Zahid Hussain,3,58,47,3,4.86,15.666666666666666,19.333333333333332
Zahid Khan,6,75,98,1,7.84,98.0,75.0
Zahid Mahmood,10,207,333,11,9.65,30.272727272727273,18.818181818181817
Zahid Zadran,3,70,113,1,9.69,113.0,70.0
Zahir Khan,70,1564,1889,72,7.25,26.23611111111111,21.72222222222222
Zahir Mohammed,1,7,23,0,19.71,,
Zahir Shehzad,4,74,120,3,9.73,40.0,24.666666666666668
Zahoor Khan,51,1148,1312,69,6.86,19.014492753623188,16.63768115942029
Zain Ahmad,8,141,140,13,5.96,10.76923076923077,10.846153846153847
Zain Ul Abidin,12,244,243,11,5.98,22.09090909090909,22.181818181818183
Zain-ul-Hassan,3,56,114,0,12.21,,
Zaker Taqawi,11,226,209,25,5.55,8.36,9.04
Zaman Akhter,3,69,99,3,8.61,33.0,23.0
Zaman Khan,46,1014,1334,68,7.89,19.61764705882353,14.911764705882353
Zamir Khan,2,40,46,2,6.9,23.0,20.0
Zawar Farid,10,169,221,7,7.85,31.571428571428573,24.142857142857142
Zeerak Chughtai,2,37,35,3,5.68,11.666666666666666,12.333333333333334
Zeeshan Abbas,2,32,45,1,8.44,45.0,32.0
Zeeshan Kukikhel,9,223,273,15,7.35,18.2,14.866666666666667
Zeeshan Maqsood,40,746,789,40,6.35,19.725,18.65
Zeeshan Zameer,3,31,47,1,9.1,47.0,31.0
Zia-ul-Haq,3,50,70,4,8.4,17.5,12.5
Zia-ur-Rehman,3,72,96,2,8.0,48.0,36.0
Ziaur Rahman,41,613,840,33,8.22,25.454545454545453,18.575757575757574
Ziaur Rahman (2),1,26,42,3,9.69,14.0,8.666666666666666
Zohaib Khan,8,143,201,3,8.43,67.0,47.666666666666664
Zohaib Sarwar,9,144,199,7,8.29,28.428571428571427,20.571428571428573
Zulfiqar Babar,25,598,698,30,7.0,23.266666666666666,19.933333333333334
Zulqarnain Haider,5,78,77,7,5.92,11.0,11.142857142857142
Zulqarnain Haider (2),1,20,8,0,2.4,,
