bowler,matches,balls,runs_conceded,wickets,economy,average,strike_rate
CE McConchie,66,1167,1426,51,7.33,27.96078431372549,22.88235294117647
CE Shreck,7,153,195,8,7.65,24.375,19.125
CF Hughes,13,161,250,5,9.32,50.0,32.2
CF Parkinson,89,1970,2446,108,7.45,22.64814814814815,18.24074074074074
CG Harrison,33,590,742,40,7.55,18.55,14.75
CG Osborne,2,24,33,3,8.25,11.0,8.0
CG Williams,13,177,187,9,6.34,20.77777777777778,19.666666666666668
CH Gayle,113,1562,1963,67,7.54,29.29850746268657,23.313432835820894
CH Morris,206,4639,5979,294,7.73,20.336734693877553,15.77891156462585
CJ Alexander,27,516,697,25,8.1,27.88,20.64
CJ Anderson,51,787,1179,35,8.99,33.68571428571428,22.485714285714284
CJ Borgas,2,13,34,0,15.69,,
CJ Boyce,91,1938,2421,105,7.5,23.057142857142857,18.457142857142856
CJ Chibhabha,21,322,451,17,8.4,26.529411764705884,18.941176470588236
CJ Dala,81,1616,2218,94,8.24,23.595744680851062,17.19148936170213
CJ Delany,3,35,61,0,10.46,,
CJ Gannon,25,515,738,34,8.6,21.705882352941178,15.147058823529411
CJ Green,187,3828,4415,173,6.92,25.520231213872833,22.127167630057805
CJ Haggett,29,566,859,27,9.11,31.814814814814813,20.962962962962962
CJ Jordan,279,6077,8514,342,8.41,24.894736842105264,17.769005847953217
CJ Langford,9,180,155,12,5.17,12.916666666666666,15.0
CJ Liddle,40,798,1137,36,8.55,31.583333333333332,22.166666666666668
CJ McKay,79,1732,2188,108,7.58,20.25925925925926,16.037037037037038
CJ Rocchiccioli,4,93,126,5,8.13,25.2,18.6
CJ Russell,10,231,341,19,8.86,17.94736842105263,12.157894736842104
CJ Simmons,6,85,89,3,6.28,29.666666666666668,28.333333333333332
CJ Taylor,1,6,19,0,19.0,,
CJA Amini,38,681,736,36,6.48,20.444444444444443,18.916666666666668
CJC Wright,14,287,470,14,9.83,33.57142857142857,20.5
CJD de Villiers,5,83,137,4,9.9,34.25,20.75
CJM Sabburg,1,6,5,0,5.0,,
CJPF Kalugamage,7,104,138,1,7.96,138.0,104.0
CK Holder,7,142,217,6,9.17,36.166666666666664,23.666666666666668
CK Jasmat,5,105,98,4,5.6,24.5,26.25
CK Kapugedera,4,41,77,0,11.27,,
CK Langeveldt,27,635,822,42,7.77,19.571428571428573,15.119047619047619
CK Leopard,2,18,22,3,7.33,7.333333333333333,6.0
CK Tshuma,1,7,10,0,8.57,,
CL Cairns,2,48,52,2,6.5,26.0,24.0
CL White,13,110,162,4,8.84,40.5,27.5
CM Akachukwu,15,216,264,11,7.33,24.0,19.636363636363637
CM Wright,2,31,49,4,9.48,12.25,7.75
CN Ackermann,101,1575,1951,72,7.43,27.09722222222222,21.875
CN Greaves,16,264,330,11,7.5,30.0,24.0
CN Miles,46,924,1303,62,8.46,21.016129032258064,14.903225806451612
CO Obuya,23,380,403,27,6.36,14.925925925925926,14.074074074074074
CP Klijnhans,1,1,4,0,24.0,,
CP Savage,7,138,196,8,8.52,24.5,17.25
CP Schofield,4,78,92,4,7.08,23.0,19.5
CP Simpson,1,20,25,1,7.5,25.0,20.0
CP Tremain,51,1106,1461,47,7.93,31.085106382978722,23.53191489361702
CP Wood,116,2490,3393,144,8.18,23.5625,17.291666666666668
CPPM Sadun,6,83,80,7,5.78,11.428571428571429,11.857142857142858
CR Brathwaite,210,4107,5688,217,8.31,26.211981566820278,18.92626728110599
CR Suryawanshi,1,13,13,1,6.0,13.0,13.0
CR Swan,1,24,16,1,4.0,16.0,24.0
CR Woakes,78,1682,2320,96,8.28,24.166666666666668,17.520833333333332
CRD Fernando,26,608,736,36,7.26,20.444444444444443,16.88888888888889
CS Delport,87,1229,1656,57,8.08,29.05263157894737,21.56140350877193
CS MacLeod,13,147,190,3,7.76,63.333333333333336,49.0
CS Martin,6,141,197,8,8.38,24.625,17.625
CS Sandri,2,36,53,2,8.83,26.5,18.0
CT Mumba,5,88,138,2,9.41,69.0,44.0
CT Mutombodzi,9,158,189,9,7.18,21.0,17.555555555555557
CT Steel,7,122,214,6,10.52,35.666666666666664,20.333333333333332
CT Tremlett,4,53,77,4,8.72,19.25,13.25
CV Harrison,4,84,119,4,8.5,29.75,21.0
CV Varun,62,1452,1767,66,7.3,26.772727272727273,22.0
CW Perchard,26,591,592,41,6.01,14.439024390243903,14.414634146341463
Callum Taylor,7,81,118,5,8.74,23.6,16.2
Charanjeet Singh,2,30,35,1,7.0,35.0,30.0
Chen Zhuo Yue,3,49,55,5,6.73,11.0,9.8
Codi Yusuf,11,215,259,8,7.23,32.375,26.875
D Abeyrathna,1,12,12,1,6.0,12.0,12.0
D Ahir,3,68,78,3,6.88,26.0,22.666666666666668
D Ajekun,6,68,79,4,6.97,19.75,17.0
D Birrell,4,89,84,5,5.66,16.8,17.8
D Bishoo,19,373,436,22,7.01,19.818181818181817,16.954545454545453
D Brevis,15,210,259,16,7.4,16.1875,13.125
D Doyle-Calle,1,6,10,0,10.0,,
D Elgar,24,344,420,20,7.33,21.0,17.2
D Fallins,2,31,44,0,8.52,,
D Ferreira,5,49,63,1,7.71,63.0,49.0
D Finau,3,42,70,2,10.0,35.0,21.0
D Foxcroft,20,314,433,15,8.27,28.866666666666667,20.933333333333334
D Gim,4,36,65,3,10.83,21.666666666666668,12.0
D Gough,2,43,51,4,7.12,12.75,10.75
D Heyliger,29,571,671,31,7.05,21.64516129032258,18.419354838709676
D Jakiel,6,128,180,9,8.44,20.0,14.222222222222221
D Jamyansuren,1,27,60,1,13.33,60.0,27.0
D Jansen,26,544,727,17,8.02,42.76470588235294,32.0
D Johnson,3,46,61,3,7.96,20.333333333333332,15.333333333333334
D Kalvin,4,73,102,3,8.38,34.0,24.333333333333332
D Kalyankrishna,3,50,88,2,10.56,44.0,25.0
D Kansonkho,6,85,115,2,8.12,57.5,42.5
D Kegasitswe,3,79,156,3,11.85,52.0,26.333333333333332
D Klein,44,959,1094,47,6.84,23.27659574468085,20.404255319148938
D Madushanka,11,238,362,13,9.13,27.846153846153847,18.307692307692307
D Maisuria,24,520,457,55,5.27,8.309090909090909,9.454545454545455
D Marks,4,93,114,2,7.35,57.0,46.5
D Matthews,1,7,14,0,12.0,,
D Mogan,3,73,116,1,9.53,116.0,73.0
D Mohammed,3,35,46,1,7.89,46.0,35.0
D Moriarty,32,645,793,33,7.38,24.03030303030303,19.545454545454547
D Muhumuza,15,209,244,11,7.0,22.181818181818183,19.0
D Mullen,3,64,92,2,8.62,46.0,32.0
D Myers,2,31,55,0,10.65,,
D Nikolov,4,44,68,1,9.27,68.0,44.0
D Olivier,33,744,1032,46,8.32,22.434782608695652,16.17391304347826
D Paterson,72,1454,2060,91,8.5,22.63736263736264,15.978021978021978
D Polpitiya,4,67,96,4,8.6,24.0,16.75
D Potgieter,11,137,206,7,9.02,29.428571428571427,19.571428571428573
D Pretorius,133,2424,3312,125,8.2,26.496,19.392
D Ravu,18,333,408,22,7.35,18.545454545454547,15.136363636363637
D Robson,2,47,54,4,6.89,13.5,11.75
D Sabir,4,92,99,6,6.46,16.5,15.333333333333334
D Salunkhe,5,51,80,1,9.41,80.0,51.0
D Siva Kumar,1,12,11,0,5.5,,
D Smit,11,201,246,8,7.34,30.75,25.125
D Suzuki,11,155,155,7,6.0,22.142857142857142,22.142857142857142
D Wabwire,7,136,157,8,6.93,19.625,17.0
D Wiese,259,4674,6369,252,8.18,25.273809523809526,18.547619047619047
D Wotu,8,162,174,11,6.44,15.818181818181818,14.727272727272727
D du Preez,28,581,747,27,7.71,27.666666666666668,21.51851851851852
D la Cock,1,6,11,0,11.0,,
DA Blignaut,21,297,345,23,6.97,15.0,12.91304347826087
DA Cosker,36,756,995,36,7.9,27.63888888888889,21.0
DA Douthwaite,41,764,1115,41,8.76,27.195121951219512,18.634146341463413
DA Griffiths,22,454,706,28,9.33,25.214285714285715,16.214285714285715
DA Payne,105,2340,3144,152,8.06,20.68421052631579,15.394736842105264
DA Warner,1,2,2,0,6.0,,
DAJ Bracewell,52,1101,1572,68,8.57,23.11764705882353,16.191176470588236
DAS Gunaratne,13,174,236,5,8.14,47.2,34.8
DB Loic,8,160,168,7,6.3,24.0,22.857142857142858
DB Ravi Teja,2,18,28,1,9.33,28.0,18.0
DBL Powell,5,110,141,2,7.69,70.5,55.0
DC Delany,7,156,200,8,7.69,25.0,19.5
DC Drakes,43,920,1340,49,8.74,27.346938775510203,18.775510204081634
DC Green,4,78,127,3,9.77,42.333333333333336,26.0
DC Smith,13,232,334,9,8.64,37.111111111111114,25.77777777777778
DC Stovell,8,125,164,6,7.87,27.333333333333332,20.833333333333332
DC Thomas,5,63,109,5,10.38,21.8,12.6
DD Masters,27,588,731,18,7.46,40.611111111111114,32.666666666666664
DE Bernard,17,299,307,15,6.16,20.466666666666665,19.933333333333334
DE Bollinger,84,1810,2336,102,7.74,22.901960784313726,17.745098039215687
DE Budge,1,8,22,1,16.5,22.0,8.0
DE Johnson,11,236,332,19,8.44,17.473684210526315,12.421052631578947
DE Martel,4,74,67,2,5.43,33.5,37.0
DE Roache,1,21,23,3,6.57,7.666666666666667,7.0
DF Jacobs,2,30,26,4,5.2,6.5,7.5
DG Blampied,25,422,501,25,7.12,20.04,16.88
DG Nalkande,3,58,104,3,10.76,34.666666666666664,19.333333333333332
DI Allan,5,39,63,4,9.69,15.75,9.75
DI Stevens,76,1238,1758,62,8.52,28.35483870967742,19.967741935483872
DJ Bell-Drummond,12,116,193,5,9.98,38.6,23.2
DJ Bravo,464,10071,13472,618,8.03,21.79935275080906,16.296116504854368
DJ Grobbelaar,12,260,353,10,8.15,35.3,26.0
DJ Harris,11,153,186,7,7.29,26.571428571428573,21.857142857142858
DJ Hawoe,5,93,94,9,6.06,10.444444444444445,10.333333333333334
DJ Hooda,39,461,589,17,7.67,34.64705882352941,27.11764705882353
DJ Hussey,63,862,1092,42,7.6,26.0,20.523809523809526
DJ Lamb,48,900,1308,51,8.72,25.647058823529413,17.647058823529413
DJ Leech,4,72,92,6,7.67,15.333333333333334,12.0
DJ Malan,24,233,333,6,8.58,55.5,38.833333333333336
DJ Mitchell,68,1001,1468,68,8.8,21.58823529411765,14.720588235294118
DJ Muthuswami,6,84,108,4,7.71,27.0,21.0
DJ Pattinson,8,149,186,6,7.49,31.0,24.833333333333332
DJ Redfern,2,39,45,1,6.92,45.0,39.0
DJ Thornely,10,122,142,7,6.98,20.285714285714285,17.428571428571427
DJ Turkich,5,109,61,7,3.36,8.714285714285714,15.571428571428571
DJ Wainwright,10,189,268,4,8.51,67.0,47.25
DJ Willey,175,3670,4864,208,7.95,23.384615384615383,17.64423076923077
DJ Worrall,65,1364,1854,55,8.16,33.70909090909091,24.8
DJG Sammy,179,2730,3655,132,8.03,27.689393939393938,20.681818181818183
DJM Moody,10,179,243,10,8.15,24.3,17.9
DJM Short,98,1424,1986,63,8.37,31.523809523809526,22.603174603174605
DK Anefie,19,366,357,15,5.85,23.8,24.4
DK Butler,1,19,23,0,7.26,,
DK Ferns,14,246,433,14,10.56,30.928571428571427,17.571428571428573
DK Jacobs,2,13,35,0,16.15,,
DK Mathias,7,89,116,2,7.82,58.0,44.5
DK Pallekonda,1,12,13,2,6.5,6.5,6.0
DKD Warnakulasuriya,8,137,153,9,6.7,17.0,15.222222222222221
DKH Mitchell,85,1273,1591,48,7.5,33.145833333333336,26.520833333333332
DL Brangman,16,285,268,23,5.64,11.652173913043478,12.391304347826088
DL Chahar,97,2133,2751,104,7.74,26.451923076923077,20.509615384615383
DL Lloyd,15,129,192,6,8.93,32.0,21.5
DL Maddy,2,18,27,3,9.0,9.0,6.0
DL Piedt,25,461,556,18,7.24,30.88888888888889,25.61111111111111
DL Vettori,101,2354,2479,95,6.32,26.094736842105263,24.778947368421054
DLS van Bunge,2,14,15,1,6.43,15.0,14.0
DM Bess,41,750,960,34,7.68,28.235294117647058,22.058823529411764
DM Dupavillon,26,557,751,28,8.09,26.821428571428573,19.892857142857142
DM Nakrani,38,807,782,56,5.81,13.964285714285714,14.410714285714286
DM de Silva,22,264,315,15,7.16,21.0,17.6
DMK Grant,2,48,49,3,6.12,16.333333333333332,16.0
DMW Rawlins,48,946,1040,50,6.6,20.8,18.92
DN Phillips,1,7,20,0,17.14,,
DNA Ankrah,4,79,86,4,6.53,21.5,19.75
DNT Zoysa,3,69,100,2,8.7,50.0,34.5
DO Leicher,2,30,46,1,9.2,46.0,30.0
DP Hyatt,3,50,75,2,9.0,37.5,25.0
DP Michael,2,34,53,4,9.35,13.25,8.5
DP Nannes,93,2156,2590,138,7.21,18.768115942028984,15.623188405797102
DP Sibley,15,233,349,5,8.99,69.8,46.6
DP Vijaykumar,9,159,205,4,7.74,51.25,39.75
DPMD Jayawardene,1,6,8,0,8.0,,
DR Briggs,147,3131,3975,164,7.62,24.23780487804878,19.091463414634145
DR Brown,1,27,45,0,10.0,,
DR Flynn,1,6,7,0,7.0,,
DR Hooper,17,341,388,17,6.83,22.823529411764707,20.058823529411764
DR Melton,4,84,125,4,8.93,31.25,21.0
DR Mousley,25,432,526,27,7.31,19.48148148148148,16.0
DR Salpietro,2,48,65,1,8.12,65.0,48.0
DR Sams,129,2805,3907,173,8.36,22.583815028901736,16.213872832369944
DR Smith,97,1200,1731,54,8.65,32.05555555555556,22.22222222222222
DR Tuffey,3,61,95,3,9.34,31.666666666666668,20.333333333333332
DS Airee,26,429,454,25,6.35,18.16,17.16
DS Bajwa,1,12,22,1,11.0,22.0,12.0
DS Kulkarni,94,1926,2574,94,8.02,27.382978723404257,20.48936170212766
DS Rosier,2,13,18,1,8.31,18.0,13.0
DS Wesonga,1,12,19,0,9.5,,
DSK Madushanka,2,35,64,2,10.97,32.0,17.5
DT Christian,288,4774,6702,238,8.42,28.159663865546218,20.058823529411764
DT Johnston,22,493,536,26,6.52,20.615384615384617,18.96153846153846
DT Tiripano,23,454,635,18,8.39,35.27777777777778,25.22222222222222
DV Macome,1,18,20,1,6.67,20.0,18.0
DV Varghese,22,306,456,12,8.94,38.0,25.5
DW Lawrence,39,525,681,32,7.78,21.28125,16.40625
DW Steyn,191,4470,5050,251,6.78,20.1195219123506,17.808764940239044
DY Pennington,54,985,1427,52,8.69,27.442307692307693,18.942307692307693
DYA Davis,10,171,209,10,7.33,20.9,17.1
Danish Aziz,5,41,72,2,10.54,36.0,20.5
Danish Jasnaik,4,72,121,2,10.08,60.5,36.0
Danyal Raja,3,75,91,5,7.28,18.2,15.0
Dawlat Ahmadzai,1,13,21,1,9.69,21.0,13.0
Dawlat Zadran,34,781,1025,44,7.87,23.295454545454547,17.75
Dawood Ahmadzai,17,357,370,18,6.22,20.555555555555557,19.833333333333332
Dayyaan Galiem,11,141,175,9,7.45,19.444444444444443,15.666666666666666
Delawar Khan,12,209,249,9,7.15,27.666666666666668,23.22222222222222
Delwar Hossain,5,88,128,5,8.73,25.6,17.6
Deng Jinqi,1,12,22,0,11.0,,
Dharmendra Manani,1,23,26,2,6.78,13.0,11.5
Dilbar Hussain,15,302,413,21,8.21,19.666666666666668,14.380952380952381
Dolar Mahmud,4,70,116,4,9.94,29.0,17.5
E Barnes,5,80,160,2,12.0,80.0,40.0
E Bosch,16,352,382,22,6.51,17.363636363636363,16.0
E Chigumbura,26,406,631,29,9.33,21.75862068965517,14.0
E Ernest,6,116,94,4,4.86,23.5,29.0
E Isaneez,3,58,53,3,5.48,17.666666666666668,19.333333333333332
E Jabarkhel,8,202,252,7,7.49,36.0,28.857142857142858
E Jones,6,109,115,5,6.33,23.0,21.8
E Kahamker,2,28,46,0,9.86,,
E Karimi,2,43,56,2,7.81,28.0,21.5
E Kubwimana,7,99,176,3,10.67,58.666666666666664,33.0
E Kuyumcu,3,22,36,0,9.82,,
E Leie,47,960,1189,50,7.43,23.78,19.2
E Mathew,9,203,250,16,7.39,15.625,12.6875
E Niyomugabo,11,164,200,10,7.32,20.0,16.4
E O'Reilly,7,149,178,8,7.17,22.25,18.625
E Ochieng,6,118,166,4,8.44,41.5,29.5
E Otieno,28,512,600,29,7.03,20.689655172413794,17.655172413793103
E Packard,6,113,144,2,7.65,72.0,56.5
E Rukiriza,25,500,515,29,6.18,17.75862068965517,17.24137931034483
E Samson,2,32,36,3,6.75,12.0,10.666666666666666
E Schiferli,4,93,114,2,7.35,57.0,46.5
E Sebareme,39,700,645,48,5.53,13.4375,14.583333333333334
E Ul Haq,1,1,4,0,24.0,,
E Walker,3,52,76,1,8.77,76.0,52.0
EB Ringera,17,323,336,20,6.24,16.8,16.15
EC Rainsford,2,37,67,0,10.86,,
ED Silva,7,102,125,7,7.35,17.857142857142858,14.571428571428571
EF Beard,1,12,14,0,7.0,,
EG Barnard,100,1641,2430,64,8.88,37.96875,25.640625
EH Hutchinson,3,50,36,2,4.32,18.0,25.0
EHSN Silva,2,42,59,2,8.43,29.5,21.0
EJ Nuttall,56,1137,1621,57,8.55,28.43859649122807,19.94736842105263
EJB Miles,22,418,441,28,6.33,15.75,14.928571428571429
EL Hawken,14,306,458,8,8.98,57.25,38.25
EMDY Munaweera,27,413,462,12,6.71,38.5,34.416666666666664
EO Hooper,2,51,49,4,5.76,12.25,12.75
EP Gulbis,28,355,500,12,8.45,41.666666666666664,29.583333333333332
EP Thompson,1,19,20,1,6.32,20.0,19.0
ER Bamber,6,104,170,4,9.81,42.5,26.0
ER Links,16,277,322,8,6.97,40.25,34.625
Ebadat Hossain,32,707,944,39,8.01,24.205128205128204,18.128205128205128
Edward Taylor,2,42,43,2,6.14,21.5,21.0
Ehsan Adil,5,126,172,7,8.19,24.571428571428573,18.0
Ehsan Khan,47,1073,1111,73,6.21,15.219178082191782,14.698630136986301
Ehsan Nawaz,5,47,85,3,10.85,28.333333333333332,15.666666666666666
Elan Talker,2,24,34,2,8.5,17.0,12.0
Elias Hasan,3,51,69,0,8.12,,
Elias Sunny,21,397,462,25,6.98,18.48,15.88
Emran Shahbakhsh,1,6,14,0,14.0,,
Enamul Haque,3,48,41,2,5.12,20.5,24.0
Enamul Haque jnr,17,302,317,15,6.3,21.133333333333333,20.133333333333333
F Akankwasa,18,322,329,20,6.13,16.45,16.1
F Banunaek,5,97,84,5,5.2,16.8,19.4
F Behardien,9,100,144,5,8.64,28.8,20.0
F Choudary,2,18,32,1,10.67,32.0,18.0
F Clarke,4,87,96,4,6.62,24.0,21.75
F Damiao Couana,12,247,298,12,7.24,24.833333333333332,20.583333333333332
F Hand,9,99,160,4,9.7,40.0,24.75
F Nsubuga,43,899,704,50,4.7,14.08,17.98
F Stoman,8,198,202,13,6.12,15.538461538461538,15.23076923076923
F du Plessis,11,121,142,9,7.04,15.777777777777779,13.444444444444445
FA Allen,77,1317,1747,58,7.96,30.120689655172413,22.70689655172414
FA Cossa,12,263,303,15,6.91,20.2,17.533333333333335
FC Plaatjies,2,33,51,0,9.27,,
FD Adams,44,862,1125,49,7.83,22.959183673469386,17.591836734693878
FH Allen,1,6,8,0,8.0,,
FH Edwards,101,2177,2844,105,7.84,27.085714285714285,20.733333333333334
FJ Heldreich,28,562,833,38,8.89,21.92105263157895,14.789473684210526
FJ Hudson-Prentice,36,579,950,32,9.84,29.6875,18.09375
FJ Klaassen,91,2009,2702,114,8.07,23.70175438596491,17.62280701754386
FJ Mpegna,1,13,37,0,17.08,,
FJM Murray,2,43,51,1,7.12,51.0,43.0
FK Cowdrey,26,409,558,21,8.19,26.571428571428573,19.476190476190474
FL Patel,4,54,87,2,9.67,43.5,27.0
FL Walker,11,234,263,13,6.74,20.23076923076923,18.0
FN Walsh,1,24,59,2,14.75,29.5,12.0
FOE van den Bergh,3,36,68,0,11.33,,
FS Organ,3,50,55,3,6.6,18.333333333333332,16.666666666666668
FW Sheat,2,30,35,2,7.0,17.5,15.0
FY Fazal,2,12,20,1,10.0,20.0,12.0
Fahad Tariq,2,18,26,0,8.67,,
Faheem Ashraf,130,2578,3449,138,8.03,24.992753623188406,18.681159420289855
Faheem Nazir,9,170,196,11,6.92,17.818181818181817,15.454545454545455
Faisal Khan,8,86,138,3,9.63,46.0,28.666666666666668
Fakhar Zaman,10,102,96,4,5.65,24.0,25.5
Fakhrul Mohon,6,108,133,3,7.39,44.333333333333336,36.0
Fanyan Mughal,20,416,472,20,6.81,23.6,20.8
Fareed Ahmad,36,710,999,44,8.44,22.704545454545453,16.136363636363637
Farhad Hossain,5,75,91,4,7.28,22.75,18.75
Farhad Reza,85,1537,2238,83,8.74,26.96385542168675,18.518072289156628
Farhan Ahmed,3,54,66,3,7.33,22.0,18.0
Farzan Afzal,3,74,46,4,3.73,11.5,18.5
Fawad Ahmed,161,3625,4244,178,7.02,23.84269662921348,20.365168539325843
Fawad Alam,6,84,104,6,7.43,17.333333333333332,14.0
Fayaz Khan,7,153,176,9,6.9,19.555555555555557,17.0
Fayaz Mohammad,1,9,18,0,12.0,,
Fayyaz Ahmed,1,18,31,1,10.33,31.0,18.0
Fayyaz Butt,29,580,726,31,7.51,23.419354838709676,18.70967741935484
Fazal Niazai,3,52,87,3,10.04,29.0,17.333333333333332
Fazalhaq Farooqi,46,1084,1272,55,7.04,23.12727272727273,19.70909090909091
Fazil Rahman,6,137,165,15,7.23,11.0,9.133333333333333
Fazle Mahmud,1,13,20,0,9.23,,
Festus Benn,4,66,77,3,7.0,25.666666666666668,22.0
Fitratullah Khawari,3,50,75,3,9.0,25.0,16.666666666666668
Fitri Sham,33,694,781,43,6.75,18.162790697674417,16.13953488372093
G Adams,1,6,11,1,11.0,11.0,6.0
G Axtell,2,44,42,1,5.73,42.0,44.0
G Bakiweyem,25,463,495,22,6.41,22.5,21.045454545454547
G Chohan,6,98,182,3,11.14,60.666666666666664,32.666666666666664
G Clark,5,26,66,0,15.23,,
G Coetzee,20,478,622,31,7.81,20.06451612903226,15.419354838709678
G Fatouros,3,60,67,5,6.7,13.4,12.0
G Goudie,4,68,100,3,8.82,33.333333333333336,22.666666666666668
G Johnson,3,48,52,1,6.5,52.0,48.0
G Kansonkho,3,18,32,1,10.67,32.0,18.0
G Mahlokwana,15,279,333,13,7.16,25.615384615384617,21.46153846153846
G Mckeon,4,70,68,4,5.83,17.0,17.5
G Motie,28,600,711,31,7.11,22.93548387096774,19.35483870967742
G Mubiru,3,54,48,4,5.33,12.0,13.5
G Ngegba,13,288,261,15,5.44,17.4,19.2
G Onions,5,105,147,7,8.4,21.0,15.0
G Sesay,22,409,387,36,5.68,10.75,11.36111111111111
G Stewart,57,1152,1643,71,8.56,23.140845070422536,16.225352112676056
G Venkateswaran,4,45,79,1,10.53,79.0,45.0
G Wade,1,3,9,0,18.0,,
G Wijekoon,3,68,101,4,8.91,25.25,17.0
GA Edwards,17,369,530,30,8.62,17.666666666666668,12.3
GA Garrett,2,25,40,1,9.6,40.0,25.0
GA Lamb,5,75,80,4,6.4,20.0,18.75
GA Priandana,5,69,86,4,7.48,21.5,17.25
GA Rogers,1,26,52,0,12.0,,
GA Stuurman,6,114,141,7,7.42,20.142857142857142,16.285714285714285
GA West,3,47,86,2,10.98,43.0,23.5
GB Brent,2,44,53,3,7.23,17.666666666666668,14.666666666666666
GB Hogg,105,2322,2762,106,7.14,26.056603773584907,21.90566037735849
GC Galanis,6,125,134,8,6.43,16.75,15.625
GC Smith,3,26,60,0,13.85,,
GC Tonge,8,135,173,10,7.69,17.3,13.5
GC Viljoen,115,2597,3447,141,7.96,24.4468085106383,18.418439716312058
GCH Hill,6,66,87,3,7.91,29.0,22.0
GD Arta,1,13,22,0,10.15,,
GD Drummond,8,150,196,5,7.84,39.2,30.0
GD Elliott,68,1082,1436,64,7.96,22.4375,16.90625
GD McGrath,16,378,445,19,7.06,23.42105263157895,19.894736842105264
GD Phillips,30,354,447,19,7.58,23.526315789473685,18.63157894736842
GD Pope,3,36,41,2,6.83,20.5,18.0
GD Putland,7,139,189,3,8.16,63.0,46.333333333333336
GDR Eranga,8,184,192,10,6.26,19.2,18.4
GE Mathurin,19,386,446,18,6.93,24.77777777777778,21.444444444444443
GEF Barnett,1,7,11,0,9.43,,
GF Linde,111,2250,2881,102,7.68,28.245098039215687,22.058823529411764
GFB Scott,7,75,128,3,10.24,42.666666666666664,25.0
GG Alta,4,91,118,6,7.78,19.666666666666668,15.166666666666666
GG Banner,1,12,24,1,12.0,24.0,12.0
GG Wagg,68,1350,1937,71,8.61,27.281690140845072,19.014084507042252
GG White,94,1822,2505,83,8.25,30.180722891566266,21.951807228915662
GH Dockrell,87,1577,1914,87,7.28,22.0,18.126436781609197
GH O'Brien,9,202,214,10,6.36,21.4,20.2
GH Rhodes,11,117,165,11,8.46,15.0,10.636363636363637
GH Vihari,6,43,48,1,6.7,48.0,43.0
GH Worker,15,158,245,8,9.3,30.625,19.75
GHS Garton,53,996,1454,53,8.76,27.433962264150942,18.79245283018868
GI Hume,4,95,142,5,8.97,28.4,19.0
GI Maiden,1,12,14,1,7.0,14.0,12.0
GJ Batty,96,1870,2281,84,7.32,27.154761904761905,22.261904761904763
GJ Delany,54,948,1229,45,7.78,27.31111111111111,21.066666666666666
GJ Harte,2,18,20,1,6.67,20.0,18.0
GJ Maxwell,248,3310,4259,145,7.72,29.372413793103448,22.82758620689655
GJ McCarter,11,226,344,15,9.13,22.933333333333334,15.066666666666666
GJ Snyman,15,239,278,9,6.98,30.88888888888889,26.555555555555557
GJP Kruger,1,26,34,0,7.85,,
GK Berg,49,885,1226,47,8.31,26.085106382978722,18.829787234042552
GK Ghalley,1,9,13,0,8.67,,
GL Walker,1,20,49,0,14.7,,
GL van Buuren,46,738,946,30,7.69,31.533333333333335,24.6
GLS Scrimshaw,43,960,1344,61,8.4,22.0327868852459,15.737704918032787
GM Andrew,8,132,188,9,8.55,20.88888888888889,14.666666666666666
GM Muthui,8,148,155,7,6.28,22.142857142857142,21.142857142857142
GM Ntambalika,5,79,96,5,7.29,19.2,15.8
GM Smith,6,64,128,1,12.0,128.0,64.0
GM Thomson,8,121,163,4,8.08,40.75,30.25
GP Meade,11,190,189,9,5.97,21.0,21.11111111111111
GP Swann,38,827,885,53,6.42,16.69811320754717,15.60377358490566
GR Breese,11,208,218,14,6.29,15.571428571428571,14.857142857142858
GR Napier,35,801,1185,43,8.88,27.558139534883722,18.627906976744185
GR Russ,2,20,52,0,15.6,,
GRD Munasinghe,4,100,112,8,6.72,14.0,12.5
GS Drissell,4,56,67,1,7.18,67.0,56.0
GS Sandhu,68,1402,1839,74,7.87,24.85135135135135,18.945945945945947
GS Sandhu (2),5,108,138,5,7.67,27.6,21.6
GSNFG Jayasuriya,12,156,234,4,9.0,58.5,39.0
GT Griffiths,56,993,1444,55,8.73,26.254545454545454,18.054545454545455
GT Main,10,179,253,16,8.48,15.8125,11.1875
GT Taylor,4,75,94,7,7.52,13.428571428571429,10.714285714285714
GTG Cork,9,171,281,9,9.86,31.22222222222222,19.0
GW Aldridge,1,24,45,1,11.25,45.0,24.0
Gagandeep Singh,9,166,229,5,8.28,45.8,33.2
Garret Banner,5,110,145,4,7.91,36.25,27.5
Gaurav Mishra,12,216,244,6,6.78,40.666666666666664,36.0
Gayan Munaweera,12,223,278,14,7.48,19.857142857142858,15.928571428571429
Ghulam Ahmadi,38,871,854,49,5.88,17.428571428571427,17.775510204081634
Ghulam Mudassar,12,258,426,14,9.91,30.428571428571427,18.428571428571427
Guido Angeletti,1,19,10,3,3.16,3.3333333333333335,6.333333333333333
Guillermo Aburto,2,28,28,1,6.0,28.0,28.0
Gulbadin Naib,47,788,1036,39,7.89,26.564102564102566,20.205128205128204
Gulsan Jha,12,231,233,11,6.05,21.181818181818183,21.0
Gurdeep Singh,3,36,57,2,9.5,28.5,18.0
Gurkeerat Singh,6,82,97,5,7.1,19.4,16.4
Gurnoor Brar,1,21,42,0,12.0,,
